Open,Symb,Side,Avr Entry,Avr Exit,Qty,Data,Comm,Net,Open Qty,Status,Trade ID
2021-10-01 09:42:58,RIDE,Long,7.63,7.55,140.0,-10.95,-1.3179,-12.27,0.0,Closed,350616
2021-10-01 09:39:55,DVAX,Long,16.21,16.83,28.0,17.25,-1.7094,15.54,0.0,Closed,947926
2021-10-01 09:48:58,RIDE,Long,7.35,7.29,210.0,-11.72,-1.9766,-13.7,0.0,Closed,217016
2021-10-01 09:30:28,LPTX,Short,3.97,3.85,24.0,3.0,-1.5062,1.49,0.0,Closed,860824
2021-10-04 09:40:52,SB,Long,5.04,4.91,200.0,-27.0,-1.3898,-28.39,0.0,Closed,686579
2021-10-04 10:07:35,BTU,Long,16.71,16.61,90.0,-8.68,-1.1051,-9.79,0.0,Closed,393888
2021-10-04 10:12:42,BTU,Long,16.71,16.69,90.0,-2.25,-1.0249,-3.27,0.0,Closed,268277
2021-10-05 09:28:05,XENE,Short,32.61,31.6,3.0,3.01,-1.6347,1.38,0.0,Closed,777062
2021-10-05 10:31:14,TROX,Short,25.37,25.22,30.0,4.5,-0.681,3.82,0.0,Closed,364553
2021-10-05 09:52:15,REI,Short,4.05,4.0,100.0,5.19,-2.0093,3.18,0.0,Closed,531161
2021-10-05 10:32:55,CEI,Long,2.71,2.74,200.0,6.5,-2.1881,4.31,0.0,Closed,765880
2021-10-05 11:29:09,CEI,Long,1.84,1.72,50.0,-6.0,-1.4399,-7.44,0.0,Closed,540539
2021-10-05 12:28:14,CEI,Long,1.17,1.19,50.0,0.75,-1.2196,-0.47,0.0,Closed,303952
2021-10-05 12:38:07,CEI,Long,1.32,1.37,52.0,2.41,-1.4622,0.94,0.0,Closed,991818
2021-10-06 09:38:16,SI,Short,157.21,152.02,1.0,5.19,-0.7017,4.49,0.0,Closed,430173
2021-10-06 09:49:47,NXTD,Short,0.44,0.43,200.0,1.47,-1.7642,-0.29,0.0,Closed,238439
2021-10-06 09:49:10,SI,Long,146.16,147.81,6.0,9.89,-2.8013,7.09,0.0,Closed,308650
2021-10-06 10:34:23,GOTU,Short,3.32,3.31,40.0,0.2,-0.722,-0.52,0.0,Closed,556810
2021-10-06 10:43:24,SDC,Short,6.27,6.19,100.0,8.0,-1.5439,6.46,0.0,Closed,297491
2021-10-06 10:53:08,MRIN,Short,8.07,7.91,30.0,4.8,-0.6543,4.15,0.0,Closed,697144
2021-10-06 10:48:02,ROOT,Short,5.15,5.11,130.0,5.24,-1.6727,3.57,0.0,Closed,480730
2021-10-06 10:58:59,XENE,Short,33.07,33.01,16.0,0.9,-1.7363,-0.83,0.0,Closed,814806
